,RaceDesc,OverallJobAccess_D,lowwagelaborforce_D,Access30Transit_D,Access30Transit_ts_D,spatialmismatch_D,SAP,Agency,Language,stage,Age_bin,total_boardings
826,3,3,4,3,4,4,0,0,2,1,0,3.0
827,1,3,4,3,4,4,0,1,5,3,1,0.0
828,1,3,4,3,4,4,0,0,0,2,3,70.0
838,4,3,4,3,4,4,1,0,0,3,2,91.0
845,8,3,4,3,4,4,0,0,0,2,3,0.0
846,8,3,4,3,4,4,0,0,0,2,3,35.0
847,8,3,4,3,4,4,1,3,0,3,3,0.0
848,8,3,4,3,4,4,1,3,0,3,3,35.0
855,3,3,4,3,4,4,0,0,0,2,1,1.0
856,1,3,4,3,4,4,0,0,0,2,0,1.0
857,1,3,4,3,4,4,0,3,5,2,1,0.0
858,0,3,4,3,4,4,0,0,0,2,2,0.0
859,1,3,4,3,4,4,0,4,0,2,3,0.0
860,1,3,4,3,4,4,0,0,0,2,2,114.0
874,1,3,4,3,4,4,1,3,0,2,2,0.0
876,1,3,4,3,4,4,1,3,0,3,2,0.0
878,4,3,4,3,4,4,0,0,5,2,3,25.0
880,1,3,4,3,4,4,0,5,2,3,4,0.0
881,0,3,4,3,4,4,0,1,0,2,3,97.0
889,0,3,4,3,4,4,0,4,0,1,4,0.0
890,0,3,4,3,4,4,0,0,0,1,2,0.0
891,4,3,4,3,4,4,0,5,5,1,3,0.0
893,4,3,4,3,4,4,0,1,5,2,3,0.0
895,1,3,4,3,4,4,0,1,5,1,1,0.0
896,5,3,4,3,4,4,0,1,5,1,1,0.0
897,2,3,4,3,4,4,1,0,1,1,5,32.0
903,1,3,4,3,4,4,0,0,5,1,2,12.0
906,2,3,4,3,4,4,1,2,0,1,5,540.0
941,1,3,4,3,4,4,0,1,0,1,1,0.0
942,2,3,4,3,4,4,0,3,0,1,4,0.0
943,1,3,4,3,4,4,0,3,5,1,0,0.0
944,1,3,4,3,4,4,1,0,0,1,5,18.0
954,2,3,4,3,4,4,0,0,1,1,3,0.0
955,1,3,4,3,4,4,0,0,0,1,4,3.0
956,1,3,4,3,4,4,0,1,0,1,1,290.0
992,0,3,4,3,4,4,0,0,0,1,4,0.0
994,6,3,4,3,4,4,1,0,4,1,3,808.0
1026,3,3,4,3,4,4,0,0,0,1,0,0.0
1027,5,3,4,3,4,4,0,1,0,1,3,0.0
1028,4,3,4,3,4,4,0,1,0,1,2,0.0
1029,1,3,4,3,4,4,1,1,0,1,2,0.0
1031,1,3,4,3,4,4,1,0,0,2,2,0.0
1034,1,3,4,3,4,4,0,0,0,1,1,1.0
1036,3,3,4,3,4,4,0,0,2,1,0,0.0
1038,1,3,4,3,4,4,0,1,0,1,3,4.0
1040,1,3,4,3,4,4,0,1,0,1,3,2.0
1042,3,3,4,3,4,4,0,0,2,1,3,58.0
1048,1,3,4,3,4,4,0,0,0,1,1,76.0
1066,7,3,4,3,4,4,0,0,0,1,0,0.0
1067,4,3,4,3,4,4,0,0,0,1,3,0.0
1068,1,3,4,3,4,4,0,5,2,1,0,0.0
1069,0,3,4,3,4,4,0,0,0,1,2,5.0
1072,0,3,4,3,4,4,0,1,0,1,0,0.0
1073,0,3,4,3,4,4,0,0,0,1,0,0.0
1074,0,3,4,3,4,4,0,4,0,1,3,0.0
1075,5,3,4,3,4,4,0,1,0,1,4,0.0
1076,1,3,4,3,4,4,0,5,0,1,0,0.0
1077,2,3,4,3,4,4,0,0,0,1,0,3.0
1080,1,3,4,3,4,4,0,0,0,1,2,0.0
1081,1,3,4,3,4,4,0,3,0,1,0,2.0
1082,1,3,4,3,4,4,0,0,0,1,0,0.0
1083,1,3,4,3,4,4,0,1,0,1,2,0.0
1085,1,3,4,3,4,4,1,2,0,1,2,56.0
1089,1,3,2,4,3,2,0,0,0,3,1,0.0
1090,1,3,2,4,3,2,0,0,5,4,3,123.0
1099,2,3,2,4,3,2,1,0,4,1,4,12.0
1103,2,3,2,4,3,2,1,0,1,1,5,56.0
1129,1,3,2,4,3,2,1,3,0,1,4,0.0
1130,0,3,2,4,3,2,1,2,0,2,2,23.0
1135,2,3,2,4,3,2,1,2,4,2,5,0.0
1136,2,3,2,4,3,2,1,0,4,2,5,664.0
1172,1,3,2,4,3,2,1,2,0,2,4,0.0
1173,0,3,2,4,3,2,1,2,0,2,2,40.0
1187,8,3,2,4,3,2,0,0,0,3,0,94.0
1199,1,3,2,4,3,2,0,1,0,1,2,0.0
1200,1,3,2,4,3,2,0,0,5,1,3,0.0
1201,2,3,2,4,3,2,1,0,4,1,5,82.0
1223,2,3,2,4,3,2,1,0,1,1,5,0.0
1224,2,3,2,4,3,2,1,0,4,1,5,19.0
1231,2,3,2,4,3,2,1,0,4,1,5,1.0
1232,5,3,2,4,3,2,1,0,4,1,2,15.0
1235,5,3,2,4,3,2,1,0,4,1,5,24.0
1241,5,3,2,4,3,2,1,0,4,1,5,7.0
1243,2,3,2,4,3,2,1,0,4,1,5,109.0
1273,2,3,2,4,3,2,1,2,4,1,5,103.0
1289,2,3,2,4,3,2,0,1,4,1,4,0.0
1290,2,3,2,4,3,2,1,0,4,1,5,10.0
1296,5,3,2,4,3,2,1,0,4,1,5,0.0
1297,3,3,2,4,3,2,0,0,2,1,4,39.0
1309,1,3,2,4,3,2,1,0,0,1,5,443.0
1326,3,3,2,4,3,2,0,0,2,1,0,12.0
1332,2,3,2,4,3,2,0,0,1,1,2,0.0
1333,1,3,2,4,3,2,0,4,5,1,2,0.0
1334,2,3,2,4,3,2,0,0,0,1,2,0.0
1335,8,3,2,4,3,2,1,2,0,1,4,11.0
1338,0,3,2,4,3,2,0,0,0,1,0,0.0
1339,4,4,2,4,4,1,0,0,1,4,3,0.0
1340,1,4,2,4,4,1,0,3,0,2,3,0.0
1341,0,4,2,4,4,1,1,0,0,2,4,0.0
1342,0,4,2,4,4,1,0,4,0,2,3,244.0
1384,4,4,2,4,4,1,0,5,0,2,5,39.0
1402,5,4,2,4,4,1,0,0,0,1,3,0.0
1403,5,4,2,4,4,1,1,3,0,3,3,0.0
1404,4,4,2,4,4,1,1,3,0,2,3,439.0
1445,4,4,2,4,4,1,0,0,0,2,2,0.0
1446,3,4,2,4,4,1,0,0,0,2,3,167.0
1475,1,4,2,4,4,1,1,3,0,2,4,0.0
1476,0,4,2,4,4,1,0,0,0,2,0,204.0
1499,0,4,2,4,4,1,1,0,0,2,2,0.0
1500,0,4,2,4,4,1,1,0,0,2,5,0.0
1501,8,4,2,4,4,1,1,3,0,2,3,0.0
1502,2,4,2,4,4,1,1,0,4,2,5,385.0
1544,2,4,2,4,4,1,1,0,5,2,5,884.0
1588,2,4,2,4,4,1,1,0,5,2,5,326.0
1627,2,4,2,4,4,1,1,2,1,2,5,7.0
1634,2,4,2,4,4,1,1,0,5,2,5,108.0
1675,2,4,2,4,4,1,0,1,1,2,5,5.0
1679,2,4,2,4,4,1,1,0,5,2,5,225.0
1718,2,4,2,4,4,1,1,2,5,2,5,0.0
1719,2,4,2,4,4,1,1,2,1,2,5,0.0
1720,2,4,2,4,4,1,1,2,5,2,5,59.0
1745,2,4,2,4,4,1,1,2,1,2,5,8.0
1748,2,4,2,4,4,1,1,0,1,2,5,657.0
1791,2,4,2,4,4,1,1,0,1,2,5,286.0
1828,2,4,2,4,4,1,1,0,1,2,5,0.0
1829,2,4,2,4,4,1,1,0,1,2,5,105.0
1869,2,4,2,4,4,1,1,0,1,2,5,1297.0
1913,2,4,2,4,4,1,1,0,1,2,5,350.0
1956,2,4,2,4,4,1,1,0,1,2,5,56.0
1989,1,4,2,4,4,1,0,0,0,2,2,0.0
1990,1,4,2,4,4,1,0,1,0,2,4,8.0
1994,1,4,2,4,4,1,1,0,0,2,1,532.0
2027,0,4,2,4,4,1,1,2,0,2,2,114.0
2051,4,4,2,4,4,1,1,3,0,2,4,536.0
2093,0,4,2,4,4,1,0,1,0,2,4,0.0
2095,0,4,2,4,4,1,1,2,0,3,4,0.0
2097,0,4,2,4,4,1,1,2,0,2,3,14.0
2106,0,4,2,4,4,1,0,5,0,2,2,0.0
2107,0,4,2,4,4,1,0,0,0,3,2,0.0
2108,2,4,2,4,4,1,1,0,0,2,5,0.0
2109,1,4,2,4,4,1,0,1,0,2,4,2.0
2110,4,4,2,4,4,1,1,0,0,1,4,0.0
2112,2,4,2,4,4,1,1,2,0,1,5,9.0
2118,2,4,2,4,4,1,1,2,1,1,5,75.0
2144,2,4,2,4,4,1,1,0,1,1,5,2.0
2146,1,4,2,4,4,1,1,3,0,1,4,13.0
2148,2,4,2,4,4,1,1,0,1,1,5,0.0
2149,2,4,2,4,4,1,0,1,1,1,5,0.0
2150,2,4,2,4,4,1,0,1,1,1,5,521.0
2151,2,4,2,4,4,1,1,3,1,2,5,0.0
2152,2,4,2,4,4,1,1,3,1,2,5,521.0
2217,2,4,2,4,4,1,1,2,1,1,5,267.0
2258,2,4,2,4,4,1,1,0,1,1,5,4.0
2261,2,4,2,4,4,1,1,0,4,1,5,308.0
2302,4,4,2,4,4,1,1,0,4,1,5,376.0
2343,2,4,2,4,4,1,1,0,4,1,5,3.0
2344,2,4,2,4,4,1,1,0,1,1,5,249.0
2382,2,4,2,4,4,1,1,0,1,1,5,219.0
2415,0,4,2,4,4,1,0,0,0,1,4,47.0
2421,0,4,2,4,4,1,1,0,0,1,3,283.0
2449,2,4,2,4,4,1,1,0,4,1,5,2.0
2452,3,4,2,4,4,1,1,0,2,1,5,46.0
2470,3,4,2,4,4,1,1,2,0,1,1,0.0
2471,3,4,2,4,4,1,0,5,2,1,3,0.0
2472,0,4,2,4,4,1,1,2,0,1,1,0.0
2473,4,4,2,4,4,1,1,0,0,1,4,199.0
2497,4,4,2,4,4,1,1,0,0,1,1,0.0
2498,2,4,2,4,4,1,1,0,1,1,5,72.0
2513,4,4,2,4,4,1,0,0,0,1,3,0.0
2514,7,4,2,4,4,1,0,0,0,1,2,1.0
2515,1,4,2,4,4,1,0,0,0,1,2,91.0
2535,1,4,2,4,4,1,0,0,0,1,0,0.0
2536,0,4,2,4,4,1,0,0,0,1,1,3.0
2539,0,4,2,4,4,1,1,0,0,1,5,78.0
2554,1,4,2,4,4,1,0,0,0,1,2,0.0
2555,2,4,2,4,4,1,0,4,5,1,3,0.0
2556,0,4,2,4,4,1,0,0,0,1,0,7.0
2558,1,4,2,4,4,1,0,3,0,1,1,0.0
2559,2,4,2,4,4,1,0,0,1,1,1,0.0
2560,2,4,2,4,4,1,0,0,0,1,1,0.0
2561,0,4,2,4,4,1,0,1,0,1,4,114.0
2571,2,4,2,4,4,1,0,0,0,1,0,5.0
2574,0,4,2,4,4,1,0,0,0,1,3,0.0
2575,2,4,2,4,4,1,0,0,0,1,3,7.0
2578,1,4,2,4,4,1,0,1,0,1,4,0.0
2579,1,4,2,4,4,1,1,0,0,1,5,60.0
2585,1,4,2,4,4,1,0,5,0,1,1,0.0
2586,5,4,4,4,4,4,1,3,0,4,4,137.0
2616,1,4,4,4,4,4,0,1,0,1,3,0.0
2617,3,4,4,4,4,4,0,0,0,3,3,62.0
2623,3,4,4,4,4,4,0,0,2,2,3,478.0
2670,0,4,4,4,4,4,0,4,0,2,2,231.0
2702,5,4,4,4,4,4,0,0,5,3,2,39.0
2709,0,4,4,4,4,4,0,1,0,3,3,0.0
2710,0,4,4,4,4,4,0,1,0,2,2,0.0
2711,0,4,4,4,4,4,0,0,0,2,2,2.0
2712,1,4,4,4,4,4,1,2,0,1,4,0.0
2713,0,4,4,4,4,4,1,2,0,1,4,83.0
2743,1,4,4,4,4,4,1,0,0,1,3,2.0
2744,1,4,4,4,4,4,0,5,0,1,3,0.0
2745,1,4,4,4,4,4,0,5,0,1,0,0.0
2746,0,4,4,4,4,4,0,0,0,1,1,0.0
2747,0,2,3,3,3,3,1,3,0,3,3,115.0
2761,4,2,3,3,3,3,0,0,2,2,4,8.0
2765,0,2,3,3,3,3,0,4,0,2,3,148.0
2792,1,2,3,3,3,3,1,3,0,2,1,110.0
2805,0,2,3,3,3,3,0,0,0,1,0,0.0
2806,3,2,3,3,3,3,0,0,2,1,2,0.0
2807,4,4,4,4,4,3,1,0,0,1,1,31.0
2815,1,4,4,4,4,3,1,2,0,2,1,0.0
2816,4,4,4,4,4,3,0,0,0,1,3,41.0
2822,1,4,4,4,4,3,1,3,0,2,1,49.0
2825,1,4,4,4,4,3,0,0,0,2,4,1.0
2826,1,4,4,4,4,3,0,0,0,2,4,0.0
2827,1,4,4,4,4,3,0,0,0,3,4,1.0
2828,1,4,4,4,4,3,0,0,0,3,4,0.0
2829,1,4,4,4,4,3,0,5,0,3,1,0.0
2830,0,4,4,4,4,3,1,0,0,1,4,1594.0
2873,1,4,4,4,4,3,1,3,0,3,3,17.0
2878,0,4,4,4,4,3,1,3,0,2,2,0.0
2879,1,4,4,4,4,3,0,0,0,3,4,556.0
2915,0,4,4,4,4,3,0,0,0,3,3,0.0
2916,0,4,4,4,4,3,1,3,0,2,4,210.0
2936,3,4,4,4,4,3,0,1,0,2,2,0.0
2937,0,4,4,4,4,3,0,1,0,2,2,30.0
2943,3,4,4,4,4,3,0,0,0,2,3,429.0
2970,1,4,4,4,4,3,1,3,0,2,3,62.0
2982,1,4,4,4,4,3,0,1,0,3,2,0.0
2983,3,4,4,4,4,3,0,4,0,1,3,0.0
2984,6,4,4,4,4,3,0,0,0,2,2,4.0
2987,1,4,4,4,4,3,1,0,0,4,4,6.0
2989,2,4,4,4,4,3,1,0,0,2,4,49.0
2994,1,4,4,4,4,3,1,3,0,3,4,65.0
3010,3,4,4,4,4,3,0,0,2,2,4,21.0
3011,1,4,4,4,4,3,1,2,0,2,2,0.0
3012,0,4,4,4,4,3,0,0,0,3,3,130.0
3016,4,4,4,4,4,3,0,0,0,1,3,0.0
3017,0,4,4,4,4,3,0,0,0,2,2,52.0
3019,0,4,4,4,4,3,0,5,0,2,3,0.0
3020,1,4,4,4,4,3,1,0,0,2,4,0.0
3021,6,4,4,4,4,3,0,5,0,3,4,170.0
3038,0,4,4,4,4,3,0,3,0,1,3,0.0
3039,1,4,4,4,4,3,1,0,0,1,3,0.0
3040,1,4,4,4,4,3,0,5,0,1,1,92.0
3051,1,4,4,4,4,3,1,2,0,1,4,0.0
3052,0,4,4,4,4,3,1,3,0,3,3,290.0
3083,0,4,4,4,4,3,0,4,0,3,3,538.0
3110,3,4,4,4,4,3,0,0,0,2,4,0.0
3111,1,4,4,4,4,3,0,1,0,2,2,0.0
3113,5,4,4,4,4,3,0,3,0,1,4,7.0
3115,1,4,4,4,4,3,1,4,0,2,3,0.0
3116,1,4,4,4,4,3,1,4,0,2,3,135.0
3117,1,4,4,4,4,3,1,3,0,3,3,0.0
3118,1,4,4,4,4,3,1,3,0,3,3,135.0
3135,0,4,4,4,4,3,0,0,0,2,4,0.0
3136,0,4,4,4,4,3,0,0,0,2,4,189.0
3137,0,4,4,4,4,3,1,0,0,3,4,0.0
3138,0,4,4,4,4,3,1,0,0,3,4,189.0
3191,4,4,4,4,4,3,1,0,0,2,2,0.0
3193,6,4,4,4,4,3,0,0,0,2,4,0.0
3194,1,4,4,4,4,3,0,0,0,1,4,0.0
3195,1,4,4,4,4,3,0,0,0,1,1,0.0
3196,1,4,4,4,4,3,1,0,0,2,2,11.0
3202,1,4,4,4,4,3,1,3,0,1,3,0.0
3203,0,4,4,4,4,3,1,0,0,2,1,8.0
3205,6,4,4,4,4,3,1,0,0,2,2,0.0
3206,0,4,4,4,4,3,1,0,0,2,1,265.0
3243,8,4,4,4,4,3,0,0,0,3,3,3.0
3245,1,4,4,4,4,3,1,3,0,2,3,0.0
3246,3,4,4,4,4,3,0,0,0,2,3,0.0
3248,3,4,4,4,4,3,1,3,0,3,3,0.0
3250,0,4,4,4,4,3,0,1,0,1,1,0.0
3251,0,4,4,4,4,3,0,4,0,2,3,588.0
3285,4,4,4,4,4,3,1,3,5,2,4,27.0
3298,0,4,4,4,4,3,0,1,0,3,4,0.0
3299,0,4,4,4,4,3,0,4,0,2,3,221.0
3319,6,4,4,4,4,3,1,2,0,2,3,0.0
3320,0,4,4,4,4,3,0,4,0,2,3,12.0
3328,0,4,4,4,4,3,0,0,0,1,1,0.0
3330,4,4,4,4,4,3,0,0,0,3,2,0.0
3331,0,4,4,4,4,3,1,0,0,3,2,0.0
3332,1,4,4,4,4,3,0,1,0,1,4,0.0
3333,4,4,4,4,4,3,0,0,0,1,4,13.0
3339,0,4,4,4,4,3,0,1,0,2,2,0.0
3340,0,4,4,4,4,3,1,2,0,1,1,0.0
3341,1,4,4,4,4,3,1,2,0,3,4,0.0
3342,0,4,4,4,4,3,0,1,0,2,4,0.0
3343,1,4,4,4,4,3,1,0,0,3,2,0.0
3345,1,4,4,4,4,3,1,0,0,4,2,0.0
3347,0,4,4,4,4,3,0,0,0,2,3,0.0
3348,0,4,4,4,4,3,0,0,0,4,4,7.0
3349,0,4,4,4,4,3,1,3,0,2,4,569.0
3381,0,4,4,4,4,3,0,4,0,2,4,309.0
3417,0,4,4,4,4,3,0,0,0,2,4,29.0
3427,1,4,4,4,4,3,0,1,0,2,4,186.0
3443,0,4,4,4,4,3,0,0,0,2,4,23.0
3452,4,4,4,4,4,3,0,0,0,1,1,0.0
3453,0,4,4,4,4,3,0,4,0,1,1,12.0
3464,0,4,4,4,4,3,1,2,0,2,3,16.0
3467,1,4,4,4,4,3,0,4,0,3,3,0.0
3468,1,4,4,4,4,3,0,4,0,3,3,46.0
3469,1,4,4,4,4,3,1,3,0,4,3,0.0
3470,1,4,4,4,4,3,1,3,0,4,3,46.0
3505,0,4,4,4,4,3,0,0,2,2,3,0.0
3506,0,4,4,4,4,3,0,4,0,2,2,27.0
3522,1,4,4,4,4,3,0,0,0,5,2,2.0
3523,1,4,4,4,4,3,0,0,0,5,2,19.0
3524,1,4,4,4,4,3,0,5,0,6,2,2.0
3525,1,4,4,4,4,3,0,5,0,6,2,19.0
3530,4,4,4,4,4,3,0,5,0,2,4,35.0
3537,1,4,4,4,4,3,1,2,0,2,3,0.0
3538,4,4,4,4,4,3,0,0,0,1,2,9.0
3544,6,4,4,4,4,3,0,4,0,2,4,0.0
3545,6,4,4,4,4,3,0,4,0,2,4,34.0
3546,6,4,4,4,4,3,0,5,0,3,4,0.0
3547,6,4,4,4,4,3,0,5,0,3,4,34.0
3550,2,4,4,4,4,3,1,4,0,6,2,0.0
3552,2,4,4,4,4,3,1,4,0,7,2,0.0
3554,0,4,4,4,4,3,1,2,0,1,4,98.0
3570,3,4,4,4,4,3,0,0,0,2,3,6.0
3571,3,4,4,4,4,3,0,3,0,3,3,0.0
3572,3,4,4,4,4,3,0,3,0,3,3,6.0
3575,0,4,4,4,4,3,0,4,0,1,2,0.0
3576,1,4,4,4,4,3,0,5,0,2,0,0.0
3577,1,4,4,4,4,3,0,0,0,2,3,0.0
3578,0,4,4,4,4,3,1,3,0,2,4,107.0
3593,0,4,4,4,4,3,1,0,0,2,4,31.0
3601,0,4,4,4,4,3,0,0,0,1,4,0.0
3602,0,4,4,4,4,3,0,4,0,2,1,1.0
3603,1,4,4,4,4,3,0,1,0,1,3,2.0
3604,0,4,4,4,4,3,0,1,0,2,2,23.0
3611,4,4,4,4,4,3,1,3,0,3,2,1332.0
3660,0,4,4,4,4,3,0,1,0,1,4,0.0
3661,4,4,4,4,4,3,0,0,0,2,2,0.0
3662,0,4,4,4,4,3,0,4,0,1,5,0.0
3663,4,4,4,4,4,3,1,2,0,2,4,0.0
3664,0,4,4,4,4,3,0,5,0,2,4,0.0
3665,3,4,4,4,4,3,0,0,0,2,1,0.0
3666,1,4,4,4,4,3,0,4,0,1,4,112.0
3682,0,4,4,4,4,3,1,3,0,2,3,81.0
3692,1,4,4,4,4,3,0,1,0,3,3,0.0
3693,2,4,4,4,4,3,0,4,0,2,0,304.0
3730,1,4,4,4,4,3,0,4,0,2,1,0.0
3731,1,4,4,4,4,3,1,3,0,1,4,264.0
3760,1,4,4,4,4,3,1,2,0,1,3,43.0
3769,3,4,4,4,4,3,0,5,2,2,4,1108.0
3796,1,4,4,4,4,3,0,0,0,1,2,158.0
3831,0,4,4,4,4,3,0,1,0,2,3,7.0
3833,0,4,4,4,4,3,1,3,0,2,3,0.0
3835,0,4,4,4,4,3,1,0,0,3,3,0.0
3837,0,4,4,4,4,3,0,4,0,2,4,0.0
3838,0,4,4,4,4,3,0,5,0,1,0,0.0
3839,5,4,4,4,4,3,0,0,5,1,2,0.0
3840,3,4,4,4,4,3,1,2,0,1,2,172.0
3864,0,4,4,4,4,3,0,4,0,2,1,0.0
3866,1,4,4,4,4,3,1,0,0,1,2,16.0
3869,1,4,4,4,4,3,1,0,0,1,4,25.0
3872,2,4,4,4,4,3,0,3,0,1,3,0.0
3873,2,4,4,4,4,3,0,3,0,1,3,72.0
3874,2,4,4,4,4,3,1,0,0,2,3,0.0
3875,2,4,4,4,4,3,1,0,0,2,3,72.0
3886,5,4,4,4,4,3,0,5,5,1,1,0.0
3887,4,4,4,4,4,3,0,0,0,1,2,41.0
3895,0,4,4,4,4,3,0,0,0,2,4,270.0
3921,6,4,4,4,4,3,0,5,0,2,3,0.0
3922,1,4,4,4,4,3,1,0,0,2,3,38.0
3934,0,4,4,4,4,3,1,0,0,2,1,16.0
3944,3,4,4,4,4,3,1,3,2,3,3,409.0
3992,2,4,4,4,4,3,0,5,0,1,2,3.0
3995,0,4,4,4,4,3,1,3,0,2,2,169.0
4041,1,4,4,4,4,3,1,0,0,3,3,48.0
4046,8,4,4,4,4,3,0,0,0,2,0,2.0
4048,4,4,4,4,4,3,0,0,0,1,4,0.0
4050,3,4,4,4,4,3,0,0,0,1,3,0.0
4051,4,4,4,4,4,3,1,3,5,1,2,899.0
4064,6,4,4,4,4,3,1,2,0,2,3,11.0
4068,0,4,4,4,4,3,1,2,0,1,3,0.0
4069,5,4,4,4,4,3,1,0,0,2,1,328.0
4088,4,4,4,4,4,3,0,1,0,4,3,0.0
4089,1,4,4,4,4,3,1,0,5,2,5,12.0
4090,1,4,4,4,4,3,0,4,0,3,3,67.0
4095,0,4,4,4,4,3,0,3,0,2,3,0.0
4099,0,4,4,4,4,3,0,0,0,3,4,0.0
4101,0,4,4,4,4,3,1,2,0,4,4,0.0
