,RaceDesc,Initial_Load,id,OverallJobAccess,lowwagelaborforce,Access30Transit,Access30Transit_ts,MSA,spatialmismatch,OverallJobAccess_quantileNum_4q,lowwagelaborforce_quantileNum_4q,Access30Transit_quantileNum_4q,Access30Transit_ts_quantileNum_4q,spatialmismatch_quantileNum_4q,OverallJobAccess_quantileNum_10q,lowwagelaborforce_quantileNum_10q,Access30Transit_quantileNum_10q,Access30Transit_ts_quantileNum_10q,spatialmismatch_quantileNum_10q,SAP,Agency,Language,Age_bin,count_enroll
103,0,1,113658,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,4,3
104,1,1,137246,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,4,3
108,0,0,205330,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,3,3
119,0,1,30850,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,3
120,4,0,38498,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,3
123,1,2,239548,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,3
126,0,2,102906,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,4,3
134,0,0,103840,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,3
141,0,0,22926,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,3
153,1,0,107540,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,5,2,3
156,0,0,165392,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,3
157,0,0,99382,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,3
181,6,2,132558,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,3,3
186,3,0,61714,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,3,3
192,1,1,122526,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,4,3
193,6,2,60880,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,4,3
202,0,0,118614,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,3
205,1,0,133944,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,3
206,1,1,134084,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,4,3
210,0,0,155892,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,3,3
218,1,0,189496,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,2
219,3,1,189338,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,2,4,2
221,1,0,99798,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
227,0,0,77456,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,1,2
245,4,1,68236,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,4,2
246,1,0,100774,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
249,2,0,70802,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,0,2
250,1,0,70846,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,1,2
260,3,0,69014,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
263,0,2,68820,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,4,2
272,1,2,145372,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,4,2
274,5,0,240256,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,4,2
276,0,0,72982,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,2
284,1,0,153902,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,0,2
295,3,2,72122,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,2,4,2
300,1,0,151216,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
315,0,1,86824,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,2
317,0,0,148610,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
319,3,0,151368,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
320,1,0,193838,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
327,1,0,150186,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
339,0,0,91886,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
344,5,1,94650,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,1,2
355,4,1,244920,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,5,4,2
363,8,0,152526,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
371,1,0,98268,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,5,2,2
374,1,1,83008,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,1,2
378,1,0,98750,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
394,0,1,191098,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,2
400,0,0,85494,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
427,1,0,118264,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
433,3,2,134090,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,2,2
434,0,0,208260,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
436,1,1,226016,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,4,2
440,0,1,209648,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,5,2
446,0,0,132358,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,4,2
453,0,0,133042,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,4,2
454,0,1,136480,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,1,2
455,0,0,228064,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
461,3,1,205706,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,2,4,2
463,1,0,228840,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,1,2
473,0,0,134774,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
475,0,1,226724,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,4,2
478,3,0,135688,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
480,0,0,135264,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
488,1,0,125162,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
495,1,0,124304,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,2,2
498,1,0,128976,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,1,2
508,1,0,216296,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,4,2
517,0,0,121296,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
527,1,1,131146,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,3,2
532,0,1,223080,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,4,2
540,0,1,120860,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,2,2
542,4,0,120978,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,2,2
546,3,0,129968,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,2,4,2
548,0,0,130056,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,2
556,0,0,122056,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
560,0,0,130316,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
562,0,1,218898,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,2,2
563,4,0,122684,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
569,1,0,142846,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
577,0,2,143494,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,3,2
581,0,0,104960,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
585,6,1,235536,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,2
589,0,5,201572,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
590,0,0,201568,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
601,0,1,238250,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,3,2
602,1,0,197474,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,4,2
608,1,1,197314,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,3,2
609,4,0,102738,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,2,2
620,3,2,204490,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,4,2
621,0,0,138692,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
623,0,0,111404,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
627,0,0,138602,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,2,2
630,0,0,139400,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
632,3,2,232026,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,4,2
635,0,2,111062,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,0,2
643,0,0,229962,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
648,0,1,229974,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,1,2
654,1,1,138178,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,4,2
661,3,2,204968,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,0,4,2
663,0,0,202338,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
666,0,1,233850,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,1,2
667,5,1,141002,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,5,4,2
683,6,1,139800,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,3,2
689,5,0,203050,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,5,0,2
693,0,0,51192,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
698,0,0,167586,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,4,2
700,0,0,51380,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
701,1,0,51302,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,4,2
702,1,1,9022,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,2
703,3,0,9012,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
710,0,1,17258,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,2
718,6,0,9902,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
719,1,0,169876,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
724,0,0,34514,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
725,6,1,34734,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,3,2
727,4,1,34288,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,5,4,2
728,0,0,49226,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,4,2
730,1,0,33040,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,1,2
735,0,0,33582,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
736,0,0,56526,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,2,3,2
741,0,0,57510,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,2,2
745,1,0,170846,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,3,2
750,3,2,31166,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,2,4,2
754,1,0,31316,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,2
755,1,0,174384,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
756,3,0,8474,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
760,1,1,174192,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,3,2
766,1,1,12662,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,2,2
771,1,0,176298,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
772,3,0,12250,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,2,4,2
776,6,0,169136,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
778,1,1,12390,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,2,2
782,0,0,161250,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,1,2
790,0,0,42044,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
794,4,1,169562,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,2,2
795,2,1,10878,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,4,2
806,0,0,48812,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
808,0,0,35452,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
811,1,0,175512,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,3,2
814,3,2,183716,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,5,2,3,2
821,1,2,23492,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
822,1,1,3608,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,1,2
829,0,1,171544,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,2,2
839,0,0,186488,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
843,0,0,171818,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
849,3,0,23044,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,2
863,5,0,172104,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2
865,1,0,23076,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
866,6,0,156170,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,4,0,3,2
870,6,1,156204,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,3,2
871,0,0,186710,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2
878,0,0,65182,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,1,0,2,2
890,0,0,165860,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,2
900,1,1,157130,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,2,2
