week,Community Transit,Everett Transit,King County Metro,Kitsap Transit,Pierce Transit,Sound Transit,card_id
2022-03-06,,2.0,,,,,192756-1
2021-11-07,2.0,,,,,,193462-1
2021-11-21,2.0,,2.0,,,2.0,193462-1
2021-11-28,6.0,1.0,,,,,193462-1
2021-12-12,4.0,,,,,,193462-1
2021-12-19,2.0,4.0,,,,,193462-1
2022-01-09,2.0,,,,,,193462-1
2022-02-06,5.0,,,,,,193462-1
2022-02-13,1.0,,,,,,193462-1
2022-02-27,4.0,,,,,,193462-1
2021-11-14,,,2.0,,,,184918-1
2021-11-28,,,,,,2.0,184918-1
2021-11-07,5.0,,,,,,186644-1
2021-11-14,2.0,,,,,,186644-1
2021-11-21,2.0,,,,,,186644-1
2021-11-28,1.0,,,,,,186644-1
2021-12-05,6.0,,,,,,186644-1
2021-12-12,2.0,,,,,,186644-1
2021-12-26,6.0,,,,,,186644-1
2022-01-02,2.0,,,,,,186644-1
2022-01-09,2.0,,,,,,186644-1
2022-01-16,5.0,,,,,,186644-1
2021-11-07,,,20.0,,,1.0,187500-1
2021-11-14,,,13.0,,,3.0,187500-1
2021-11-21,,,25.0,,,3.0,187500-1
2021-11-28,,,15.0,,,3.0,187500-1
2021-12-05,,,21.0,,,5.0,187500-1
2021-12-12,,,21.0,,,5.0,187500-1
2021-12-19,,,20.0,,,2.0,187500-1
2021-12-26,,,13.0,,,2.0,187500-1
2022-01-02,,,18.0,,,,187500-1
2022-01-09,,,18.0,,,,187500-1
2022-01-16,,,32.0,,,,187500-1
2022-01-23,,,21.0,,,,187500-1
2022-01-30,,,32.0,,,,187500-1
2022-02-06,,,37.0,,,3.0,187500-1
2022-02-13,,,32.0,,,6.0,187500-1
2022-02-20,,,29.0,,,4.0,187500-1
2022-02-27,,,27.0,,,4.0,187500-1
2022-03-06,,,6.0,,,1.0,187500-1
2022-01-09,,,1.0,,,,187644-1
2022-02-27,,,,,,1.0,187644-1
2021-11-07,8.0,,,,,,189174-1
2021-11-14,7.0,,,,,,189174-1
2021-11-21,5.0,,,,,,189174-1
2021-11-28,8.0,,2.0,,,,189174-1
2021-12-05,6.0,,,,,,189174-1
2021-12-12,7.0,,1.0,,,,189174-1
2021-12-19,6.0,,,,,,189174-1
2021-12-26,7.0,,6.0,,,,189174-1
2022-01-02,3.0,,,,,,189174-1
2022-01-09,4.0,,,,,,189174-1
2022-01-16,5.0,,,,,,189174-1
2022-01-23,2.0,,,,,,189174-1
2022-01-30,5.0,,,,,,189174-1
2022-02-06,8.0,,1.0,,,,189174-1
2022-02-13,7.0,,,,,,189174-1
2022-02-20,5.0,,,,,,189174-1
2022-02-27,7.0,,,,,,189174-1
2022-03-06,1.0,,,,,,189174-1
2021-11-07,8.0,,,,,,189554-1
2021-11-14,9.0,,3.0,,,,189554-1
2021-11-21,5.0,,,,,,189554-1
2021-11-28,9.0,,,,,,189554-1
2021-12-05,8.0,,,,,,189554-1
2021-12-12,9.0,,,,,,189554-1
2021-12-19,10.0,,,,,,189554-1
2021-12-26,7.0,,,,,,189554-1
2022-01-02,6.0,,,,,,189554-1
2022-01-09,11.0,,,,,,189554-1
2022-01-16,5.0,,4.0,,,,189554-1
2022-01-23,4.0,,2.0,,,2.0,189554-1
2022-01-30,4.0,,3.0,,,1.0,189554-1
2022-02-06,4.0,,,,,,189554-1
2022-02-13,8.0,,,,,,189554-1
2022-02-27,2.0,,,,,,189554-1
2021-11-07,,,1.0,,,9.0,48724-2
2021-11-14,,,3.0,,,8.0,48724-2
2021-11-21,,,,,,5.0,48724-2
2021-12-05,,,,,,2.0,48724-2
2021-12-12,,,1.0,,,,192016-1
2021-12-19,,,2.0,,,,192016-1
2022-01-23,,,,,7.0,,192016-1
2022-01-30,,,,,14.0,,192016-1
2022-02-06,,,,,17.0,,192016-1
2022-02-13,,,,,5.0,,192016-1
2022-02-20,,,,,9.0,,192016-1
2022-02-27,,,,,11.0,,192016-1
2022-03-06,,,,,1.0,,192016-1
2022-01-02,,,3.0,,,1.0,47850-1
2022-02-27,,,2.0,,,,47850-1
2022-01-09,,,,,,1.0,195768-1
2021-12-05,,,1.0,,3.0,1.0,195962-1
2021-11-07,,,,,6.0,,198674-1
2021-11-14,,,,,10.0,,198674-1
2021-11-21,,,2.0,,9.0,2.0,198674-1
2021-11-28,,,,,9.0,,198674-1
2021-12-05,,,,,10.0,,198674-1
2021-12-12,,,2.0,,9.0,2.0,198674-1
2021-12-19,,,,,5.0,,198674-1
2022-02-20,,,,,1.0,,198674-1
2022-02-27,,,,,7.0,2.0,198674-1
2022-03-06,,,,,2.0,,198674-1
2021-11-07,,,,,6.0,,3444-2
2021-11-14,,,2.0,,,,3444-2
2021-11-21,,,3.0,,,,3444-2
2021-11-28,,,1.0,,,,3444-2
2021-12-05,,,3.0,,,,3444-2
2021-12-12,,,2.0,,,,3444-2
2021-12-19,,,5.0,,,,3444-2
2021-12-26,,,2.0,,,,3444-2
2022-01-09,,,3.0,,,,3444-2
2022-01-16,,,11.0,,,,3444-2
2022-01-23,,,8.0,,,,3444-2
2022-01-30,,,6.0,,,,3444-2
2022-02-06,,,3.0,,,,3444-2
2022-02-13,,,7.0,,,,3444-2
2022-02-20,,,9.0,,,,3444-2
2022-02-27,,,6.0,,1.0,,3444-2
2022-02-20,,,1.0,,,,188048-1
2021-11-07,,,,,,1.0,78216-1
2021-11-14,,,1.0,,,,78216-1
2021-11-21,,,9.0,,,,78216-1
2021-11-28,,,4.0,,,,78216-1
2021-12-05,,,6.0,,,,78216-1
2021-12-12,,,6.0,,,,78216-1
2021-12-19,,,5.0,,,,78216-1
2021-12-26,,,13.0,,,,78216-1
2022-01-02,,,1.0,,,,78216-1
2022-01-09,,,1.0,,,,78216-1
2022-01-16,,,11.0,,,6.0,78216-1
2022-01-23,,,1.0,,,2.0,78216-1
2022-01-16,,,7.0,,,,188686-1
2022-01-23,,,4.0,,,,188686-1
2022-01-30,,,2.0,,,,188686-1
2022-02-06,,,1.0,,,,188686-1
2022-02-13,,,5.0,,,,188686-1
2022-02-06,,,7.0,,,,193466-1
2022-02-13,,,9.0,,,,193466-1
2022-02-20,,,7.0,,,,193466-1
2022-02-27,,,4.0,,,,193466-1
2021-11-07,,,2.0,,,,196336-1
2021-11-14,,,4.0,,,,196336-1
2021-12-12,2.0,,1.0,,,,196336-1
2021-12-19,4.0,,5.0,,,2.0,196336-1
2022-01-09,,,2.0,,,,196336-1
2022-01-30,,,2.0,,,,196336-1
2022-02-13,,,2.0,,,,196336-1
2021-11-21,,,,,2.0,,190560-1
2021-12-26,,,,,2.0,,190560-1
2022-01-09,,,,,2.0,,190560-1
2021-12-12,,,1.0,,,,194718-1
2022-01-23,,,1.0,,,,194718-1
2021-11-07,,,12.0,,,,194810-1
2021-11-14,,,11.0,,,,194810-1
2021-11-21,,,9.0,,,,194810-1
2021-11-28,,,6.0,,,,194810-1
2021-12-05,,,10.0,,,,194810-1
2021-12-12,,,9.0,,,,194810-1
2021-12-19,,,13.0,,,,194810-1
2021-12-26,,,7.0,,,,194810-1
2022-01-02,,,6.0,,,,194810-1
2022-01-09,,,6.0,,,,194810-1
2022-01-16,,,10.0,,,,194810-1
2022-01-23,,,8.0,,,,194810-1
2022-01-30,,,16.0,,,,194810-1
2022-02-06,,,9.0,,,,194810-1
2022-02-13,,,12.0,,,,194810-1
2022-02-20,,,14.0,,,,194810-1
2022-02-27,,,11.0,,,,194810-1
2022-03-06,,,2.0,,,,194810-1
2022-01-09,,,2.0,,,,183408-1
2022-01-16,,,1.0,,,,183408-1
2022-01-23,,,1.0,,,,183408-1
2022-01-30,,,2.0,,,,183408-1
2022-02-06,,,5.0,,,,183408-1
2022-02-13,,,5.0,,,,183408-1
2022-02-20,,,3.0,,,,183408-1
2022-02-27,,,4.0,,,,183408-1
2021-11-14,,,3.0,,,,186380-1
2021-11-21,,,5.0,,,,186380-1
2021-11-28,,,2.0,,,,186380-1
2021-12-05,,,3.0,,,,186380-1
2021-12-12,,,2.0,,,,186380-1
2022-01-02,,,4.0,,,,186380-1
2022-01-09,,,3.0,,,,186380-1
2022-01-23,,,1.0,,,,186380-1
2021-11-14,,,1.0,,,,185948-1
2021-12-12,,,1.0,,,,185948-1
2022-02-06,,,,,,2.0,185948-1
2021-11-14,,,2.0,,,,186226-1
2022-01-09,,,2.0,,,,186226-1
2022-01-09,,,1.0,,,,82332-1
2021-11-14,,,,,,1.0,187446-1
2021-12-12,,,,,,1.0,187446-1
2021-12-19,,,,,,2.0,187446-1
2022-02-06,,,1.0,,,,187446-1
2022-02-27,,,,,,3.0,187446-1
2022-01-16,,,6.0,,,,186862-1
2022-01-23,,,1.0,,,,186862-1
2022-02-20,,,,,,1.0,186922-1
2021-11-07,,,15.0,,,,189160-1
2021-11-14,,,9.0,,,,189160-1
2021-11-21,,,11.0,,,,189160-1
2021-11-28,,,11.0,,,,189160-1
2021-12-05,,,17.0,,,,189160-1
2021-12-12,,,19.0,,,,189160-1
2021-12-19,,,18.0,,,,189160-1
2021-12-26,,,13.0,,,,189160-1
2022-01-09,,,9.0,,,,189160-1
2022-01-16,,,4.0,,,,189160-1
2022-01-23,,,13.0,,,,189160-1
2022-01-30,,,18.0,,,,189160-1
2022-02-06,,,13.0,,,,189160-1
2022-02-13,,,16.0,,,,189160-1
2022-02-20,,,16.0,,,,189160-1
2022-02-27,,,17.0,,,,189160-1
2022-02-20,,,,,5.0,,188102-1
2021-11-07,,,,,2.0,5.0,189674-1
2021-11-14,,,,,3.0,10.0,189674-1
2021-11-21,,,,,1.0,4.0,189674-1
2021-11-28,,,,,,2.0,189674-1
2021-12-12,,,,,1.0,4.0,189674-1
2021-12-19,,,1.0,,,3.0,189674-1
2021-12-26,,,2.0,,2.0,6.0,189674-1
2022-01-02,,,,,2.0,1.0,189674-1
2022-01-09,,,,,2.0,,189674-1
2022-01-16,,,,,3.0,5.0,189674-1
2022-01-23,,,,,1.0,2.0,189674-1
2022-01-30,,,,,,4.0,189674-1
2022-02-06,,,,,1.0,2.0,189674-1
2022-02-13,,,,,4.0,4.0,189674-1
2022-02-20,,,,,,3.0,189674-1
2022-02-27,,,1.0,,3.0,5.0,189674-1
2021-11-07,,,8.0,,,,192888-1
2021-11-14,,,1.0,,1.0,1.0,192888-1
2021-11-21,,,7.0,,,,192888-1
2021-11-28,,,6.0,,,,192888-1
2021-12-05,,,9.0,,,4.0,192888-1
2021-12-12,,,10.0,,,3.0,192888-1
2021-12-19,,,7.0,,,,192888-1
2021-12-26,,,6.0,,,,192888-1
2022-01-02,,,7.0,,,,192888-1
2022-01-09,,,1.0,,,4.0,192888-1
2022-01-16,,,2.0,,,4.0,192888-1
2022-01-23,,,6.0,,,4.0,192888-1
2022-01-30,,,2.0,,,3.0,192888-1
2022-02-06,,,2.0,,,6.0,192888-1
2022-02-13,,,2.0,,,9.0,192888-1
2022-02-20,,,3.0,,,1.0,192888-1
2022-02-27,,,3.0,,2.0,8.0,192888-1
2021-11-07,,,,,,8.0,198004-1
2021-11-14,,,,,,5.0,198004-1
2021-11-21,,,,,,7.0,198004-1
2021-11-28,,,1.0,,,5.0,198004-1
2021-12-05,,,1.0,,,6.0,198004-1
2021-12-12,,,,,,6.0,198004-1
2021-12-26,,,,,,8.0,198004-1
2022-01-16,,,,,,9.0,198004-1
2022-02-06,,,3.0,,,7.0,198004-1
2022-02-13,,,3.0,,,7.0,198004-1
2022-02-20,,,3.0,,,6.0,198004-1
2022-02-27,,,2.0,,,11.0,198004-1
2021-11-14,,,1.0,,,,204270-1
2021-11-28,,,1.0,,,,204270-1
2021-12-05,,,2.0,,,,190364-1
2021-12-19,,,4.0,,,2.0,190364-1
2021-12-26,,,1.0,,,3.0,190364-1
2022-01-30,,,3.0,,,,190364-1
2021-11-28,,,,,,1.0,192272-1
2021-12-05,,,1.0,,,2.0,192272-1
2021-12-12,,,4.0,,,1.0,192272-1
2021-12-19,,,,,,2.0,192272-1
2022-01-16,,,2.0,,,1.0,192272-1
2022-01-23,,,1.0,,,,192272-1
2021-12-12,,,3.0,,,3.0,187554-1
2021-12-19,,,2.0,,,8.0,187554-1
2021-12-26,,,,,,3.0,187554-1
2022-01-09,,,,,,5.0,187554-1
2022-01-16,,,1.0,,,4.0,187554-1
2022-01-23,,,,,,6.0,187554-1
2022-01-30,,,1.0,,,7.0,187554-1
2022-02-06,,,5.0,,,5.0,187554-1
2022-02-13,,,6.0,,,1.0,187554-1
2022-02-20,,,3.0,,,1.0,187554-1
2022-02-27,,,6.0,,,2.0,187554-1
2022-03-06,,,,,,1.0,187554-1
2022-01-09,,,1.0,,,,192164-1
2021-11-07,,,12.0,,,2.0,193568-1
2021-11-14,,,3.0,,,9.0,193568-1
2021-11-21,,,3.0,,,7.0,193568-1
2021-11-28,,,5.0,,,5.0,193568-1
2021-12-05,,,3.0,,,5.0,193568-1
2021-12-12,,,7.0,,,9.0,193568-1
2021-12-19,,,7.0,,,5.0,193568-1
2021-12-26,,,6.0,,,6.0,193568-1
2022-01-02,,,1.0,,,4.0,193568-1
2022-01-09,,,7.0,,,7.0,193568-1
2022-01-16,,,,,,2.0,193568-1
2022-01-23,,,1.0,,,7.0,193568-1
2022-01-30,,,2.0,,,5.0,193568-1
2022-02-06,,,5.0,,,7.0,193568-1
2022-02-13,,,2.0,,,8.0,193568-1
2022-02-20,,,1.0,,,10.0,193568-1
2022-02-27,,,4.0,,,9.0,193568-1
2021-11-21,,,2.0,,,,195096-1
2021-12-05,,,1.0,,,1.0,195096-1
2021-12-12,,,,,,3.0,195096-1
2021-12-19,,,,,,2.0,195096-1
2021-12-26,,,,,,1.0,195096-1
2022-01-09,,,,,,2.0,195096-1
2021-11-07,,,,,8.0,1.0,186052-1
2021-11-21,,,,,5.0,3.0,186052-1
2021-11-28,,,,,6.0,11.0,186052-1
2021-12-05,,,,,3.0,3.0,186052-1
2021-12-12,1.0,,6.0,,8.0,16.0,186052-1
2021-12-19,,,1.0,,2.0,5.0,186052-1
2021-12-26,,,1.0,,1.0,,186052-1
2022-01-02,,,,,9.0,3.0,186052-1
2022-01-09,,,7.0,,,8.0,186052-1
2022-01-16,,,1.0,,2.0,6.0,186052-1
2022-01-23,,,3.0,,,2.0,186052-1
2022-01-30,,,1.0,,1.0,5.0,186052-1
2022-02-06,,,,,4.0,5.0,186052-1
2022-02-13,,,,,4.0,3.0,186052-1
2022-02-20,,,,,2.0,,186052-1
2022-02-27,,,,,2.0,2.0,186052-1
2021-11-07,,,2.0,,,3.0,186886-1
2021-11-14,,,7.0,,,3.0,186886-1
2021-11-21,,,4.0,,,2.0,186886-1
2021-11-28,,,2.0,,,2.0,186886-1
2021-12-12,,,3.0,,,2.0,186886-1
2021-12-19,,,1.0,,,,186886-1
2022-01-02,,,1.0,,,,186886-1
2022-01-23,,,5.0,,1.0,3.0,186886-1
2022-02-20,,,3.0,,,5.0,186886-1
2022-02-27,,,2.0,,,2.0,186886-1
2022-03-06,,,1.0,,,2.0,186886-1
2021-11-07,7.0,1.0,,,,2.0,188974-1
2021-11-14,4.0,,,,,7.0,188974-1
2021-11-21,3.0,2.0,,,,2.0,188974-1
2021-11-28,3.0,,,,,12.0,188974-1
2021-12-05,4.0,4.0,,,,11.0,188974-1
2021-12-12,6.0,2.0,,,,9.0,188974-1
2021-12-19,6.0,1.0,,,,8.0,188974-1
2021-12-26,4.0,2.0,,,,9.0,188974-1
2022-01-02,3.0,1.0,,,,7.0,188974-1
2021-11-07,,,13.0,,,,185406-1
2021-11-14,,,14.0,,,,185406-1
2021-11-21,,,13.0,,,,185406-1
2021-11-28,,,15.0,,,,185406-1
2021-12-05,,,14.0,,,,185406-1
2021-12-12,,,14.0,,,,185406-1
2021-12-19,,,12.0,,,,185406-1
2021-12-26,,,11.0,,,,185406-1
2022-01-02,,,4.0,,,,185406-1
2022-01-09,,,5.0,,,,185406-1
2022-01-16,,,5.0,,,,185406-1
2022-01-23,,,7.0,,,,185406-1
2022-01-30,,,8.0,,,,185406-1
2022-02-06,,,8.0,,,,185406-1
2022-02-13,,,6.0,,,,185406-1
2022-02-20,,,9.0,,,,185406-1
2022-02-27,,,3.0,,,,185406-1
2021-11-07,,,,,,6.0,199240-1
2022-02-06,,,,,,6.0,199240-1
2022-02-20,,,,,,2.0,199240-1
2021-11-14,,,1.0,,,,199242-1
2021-11-28,,,1.0,,,,199242-1
2021-12-05,,,1.0,,,,199242-1
2021-12-12,,,3.0,,,,199242-1
2021-12-19,,,1.0,,,,199242-1
2022-01-09,,,2.0,,,,199242-1
2022-01-16,,,4.0,,,,199242-1
2022-01-23,,,2.0,,,,199242-1
2022-01-30,,,1.0,,,,199242-1
2022-02-06,,,1.0,,,,199242-1
2022-02-20,,,2.0,,,,199242-1
2022-02-27,,,1.0,,,,199242-1
2021-11-14,,,1.0,,,,191834-1
2022-01-02,,,6.0,,,5.0,189728-1
2021-11-07,,,12.0,,,11.0,190804-1
2021-11-14,,,2.0,,,,190804-1
2021-11-28,,,23.0,,,5.0,190804-1
2021-12-05,,,32.0,,,2.0,190804-1
2021-12-12,,,21.0,,,2.0,190804-1
2021-12-19,,,15.0,,,2.0,190804-1
2021-12-26,,,13.0,,,1.0,190804-1
2022-01-02,,,1.0,,,,190804-1
2022-01-30,,,1.0,,,4.0,190804-1
2022-02-06,,,5.0,,,3.0,190804-1
2022-02-13,,,2.0,,,2.0,190804-1
2022-02-20,,,4.0,,,3.0,190804-1
2022-02-27,,,13.0,,,2.0,190804-1
2022-03-06,,,2.0,,,1.0,190804-1
2021-11-21,,,,,,2.0,183268-1
2021-12-05,,,2.0,,,6.0,183268-1
2021-12-19,,,8.0,,,14.0,183268-1
2021-12-26,,,4.0,,,7.0,183268-1
2022-01-02,,1.0,8.0,,,14.0,183268-1
2022-01-09,,,6.0,,,8.0,183268-1
2022-01-16,,1.0,8.0,,,12.0,183268-1
2022-01-23,,,6.0,,,13.0,183268-1
2022-01-30,,,6.0,,,10.0,183268-1
2022-02-13,,,6.0,,,14.0,183268-1
2022-02-20,,,3.0,,,5.0,183268-1
2022-02-27,,,3.0,,,7.0,183268-1
2021-11-07,,2.0,,,,,184722-1
2021-11-21,,4.0,,,,,184722-1
2021-11-28,,4.0,,,,,184722-1
2021-12-05,,10.0,,,,,184722-1
2021-12-12,,11.0,,,,,184722-1
2021-12-19,,9.0,,,,,184722-1
2021-12-26,,6.0,,,,,184722-1
2022-01-02,,4.0,,,,,184722-1
2022-01-09,,5.0,,,,,184722-1
2022-01-23,,2.0,,,,,184722-1
2022-01-30,,6.0,,,,,184722-1
2022-02-20,,4.0,,,,,184722-1
2022-02-27,,2.0,,,,,184722-1
2021-11-07,,9.0,,,,,186888-1
2021-11-14,,4.0,,,,,186888-1
2021-11-21,,10.0,,,,,186888-1
2021-11-28,,6.0,,,,,186888-1
2021-12-05,,10.0,,,,,186888-1
2021-12-12,,11.0,,,,,186888-1
2021-12-19,,13.0,,,,,186888-1
2021-12-26,,5.0,,,,,186888-1
2022-01-16,,9.0,,,,,186888-1
2022-01-30,2.0,14.0,,,,,186888-1
2022-02-06,,13.0,,,,,186888-1
2022-02-13,,10.0,,,,,186888-1
2022-02-20,,10.0,,,,,186888-1
2022-02-27,,9.0,,,,,186888-1
2022-03-06,,1.0,,,,,186888-1
2021-11-07,11.0,,,,,20.0,189416-1
2021-11-14,10.0,,,,,20.0,189416-1
2021-11-21,11.0,,1.0,,,24.0,189416-1
2021-11-28,6.0,,2.0,,,12.0,189416-1
2021-12-05,10.0,,4.0,,,20.0,189416-1
2021-12-12,10.0,,,,,20.0,189416-1
2021-12-19,10.0,,1.0,,,23.0,189416-1
2021-12-26,8.0,,1.0,,,16.0,189416-1
2022-01-02,4.0,,4.0,,,12.0,189416-1
2022-01-09,10.0,,,,,19.0,189416-1
2022-01-16,10.0,,5.0,,,20.0,189416-1
2022-01-23,10.0,,,,,19.0,189416-1
2022-01-30,10.0,,2.0,,,23.0,189416-1
2022-02-06,10.0,,3.0,,,22.0,189416-1
2022-02-13,8.0,,,,,19.0,189416-1
2022-02-20,8.0,,2.0,,,20.0,189416-1
2022-02-27,11.0,,2.0,,,20.0,189416-1
2022-03-06,2.0,,,,,4.0,189416-1
2021-12-12,,1.0,,,,,189912-1
2021-11-14,1.0,,,,,,190050-1
2022-01-23,1.0,,,,,,190050-1
2022-02-20,1.0,1.0,,,,,190050-1
2021-11-14,1.0,1.0,,,,,184788-1
2021-11-28,3.0,1.0,,,,,184788-1
2022-01-16,1.0,1.0,,,,,184788-1
2022-01-23,2.0,,,,,,184788-1
2022-02-20,2.0,,,,,,184788-1
2021-11-07,,,15.0,,,13.0,185714-1
2021-11-14,,,16.0,,,16.0,185714-1
2021-11-21,,,14.0,,,19.0,185714-1
2021-11-28,,,18.0,,,24.0,185714-1
2021-12-05,,,17.0,,,27.0,185714-1
2021-12-12,,,18.0,,,25.0,185714-1
2021-12-19,,,15.0,,,35.0,185714-1
2021-12-26,,,12.0,,,18.0,185714-1
2022-01-09,,,17.0,,,25.0,185714-1
2022-01-16,,,19.0,,,22.0,185714-1
2022-01-23,,,15.0,,,20.0,185714-1
2022-01-30,,,13.0,,,29.0,185714-1
2022-02-06,,,18.0,,,31.0,185714-1
2022-02-13,,,16.0,,,24.0,185714-1
2022-02-20,,,17.0,,,26.0,185714-1
2022-02-27,,,14.0,,,29.0,185714-1
2022-03-06,,,1.0,,,7.0,185714-1
2021-11-07,,,1.0,,10.0,13.0,198516-1
2021-11-14,,,4.0,,,10.0,198516-1
2021-11-21,,,6.0,,,9.0,198516-1
2021-11-28,,,8.0,,,8.0,198516-1
2021-12-05,,,9.0,,,11.0,198516-1
2021-12-12,,,5.0,,,12.0,198516-1
2021-12-19,,,3.0,,,9.0,198516-1
2021-12-26,,,8.0,,,8.0,198516-1
2022-01-02,,,4.0,,,4.0,198516-1
2022-01-09,,,5.0,,,7.0,198516-1
2022-01-16,,,6.0,,,10.0,198516-1
2022-01-23,,,4.0,,,10.0,198516-1
2022-01-30,,,4.0,,,12.0,198516-1
2022-02-06,,,4.0,,,4.0,198516-1
2022-02-13,,,7.0,,,7.0,198516-1
2022-02-20,,,1.0,,,9.0,198516-1
2022-02-27,,,8.0,,,7.0,198516-1
2022-01-09,,,2.0,,,,204896-1
2022-01-30,,,2.0,,,,204896-1
2022-02-06,,,1.0,,,,204896-1
2022-02-13,,,1.0,,,1.0,204896-1
2021-11-07,,,5.0,,,,205332-1
2021-11-14,,,8.0,,,,205332-1
2021-11-21,,,7.0,,,,205332-1
2021-11-28,,,7.0,,,,205332-1
2021-12-05,,,9.0,,,,205332-1
2021-12-12,,,7.0,,,,205332-1
2021-12-19,,,7.0,,,,205332-1
2021-12-26,,,5.0,,,,205332-1
2022-01-02,,,5.0,,,,205332-1
2022-01-09,,,6.0,,,,205332-1
2022-01-16,,,6.0,,,,205332-1
2022-01-23,,,6.0,,,,205332-1
2022-01-30,,,5.0,,,,205332-1
2022-02-06,,,6.0,,,,205332-1
2022-02-13,,,5.0,,,,205332-1
2022-02-20,,,7.0,,,,205332-1
2022-02-27,,,5.0,,,,205332-1
2022-01-23,,,7.0,,,2.0,205588-1
2022-01-30,,,2.0,,,,205588-1
2021-11-07,,,6.0,,,,206560-1
2021-11-14,,,7.0,,,1.0,206560-1
2021-11-21,,,2.0,,,,206560-1
2021-11-28,,,1.0,,,,206560-1
2021-12-05,,,3.0,,,2.0,206560-1
2021-12-12,,,3.0,,,,206560-1
2021-12-19,,,5.0,,,2.0,206560-1
2021-11-07,2.0,1.0,3.0,,,,206918-1
2022-01-16,,,1.0,,,3.0,206918-1
2022-01-30,,1.0,,,,,206918-1
2022-02-06,,2.0,,,,,206918-1
2021-12-05,,,16.0,,,,191236-1
2021-12-12,,,4.0,,,,191236-1
2022-01-23,,,2.0,,,,191236-1
2022-01-30,,,1.0,,,,191236-1
2022-02-13,,,3.0,,,,191236-1
2022-02-20,,,3.0,,,,191236-1
