id,study_card,stage
5162,NaN,1
5164,NaN,3
5168,NaN,2
5174,NaN,3
5176,NaN,2
5188,NaN,1
5192,NaN,1
5194,NaN,1
5196,NaN,2
5198,NaN,2
5200,15.0,2
5202,NaN,3
5206,NaN,3
5210,NaN,2
5212,NaN,2
5214,NaN,3
5216,NaN,1
5230,NaN,1
5232,10.0,1
5244,NaN,3
5246,NaN,1
5248,10.0,3
5256,NaN,4
5266,10.0,2
5268,Subsidized Annual Pass,1
5270,NaN,1
5274,NaN,1
5276,10.0,1
5284,NaN,1
5298,Subsidized Annual Pass,1
5302,NaN,2
5310,15.0,1
5312,NaN,3
5318,NaN,1
5320,NaN,1
5324,NaN,3
5338,NaN,1
5340,NaN,3
5342,NaN,2
5356,NaN,2
5360,NaN,3
5376,10.0,1
5384,NaN,3
5386,NaN,1
5390,NaN,3
5392,NaN,3
5396,NaN,1
5398,NaN,1
5400,NaN,2
5402,NaN,1
5406,NaN,1
5408,NaN,2
5412,NaN,1
5414,NaN,2
5418,NaN,2
5420,NaN,1
5422,NaN,1
5426,NaN,1
5430,NaN,1
5432,NaN,1
5436,10.0,2
5442,NaN,1
5446,NaN,1
5448,10.0,3
5450,NaN,1
5452,NaN,3
5456,NaN,1
5458,NaN,4
5464,NaN,1
5466,NaN,2
5470,NaN,1
5478,NaN,1
5486,10.0,1
5488,NaN,2
5490,10.0,1
5492,NaN,3
5496,NaN,1
5502,NaN,1
5506,NaN,1
5508,NaN,1
5516,NaN,1
5518,10.0,1
5522,NaN,1
5524,NaN,1
5528,10.0,1
5534,15.0,2
5536,NaN,1
5538,NaN,2
5540,NaN,1
5542,NaN,1
5552,NaN,1
5554,NaN,2
5568,NaN,1
5570,10.0,1
5572,NaN,1
5574,NaN,1
5576,NaN,2
5578,NaN,1
5580,NaN,1
5586,NaN,1
5592,NaN,1
5596,NaN,4
5610,NaN,1
5618,NaN,1
5628,NaN,4
5630,NaN,1
5638,NaN,3
5646,15.0,2
5648,NaN,3
5654,NaN,1
5658,NaN,1
5660,10.0,1
5662,NaN,1
5672,15.0,2
5674,NaN,1
5676,NaN,2
5678,NaN,1
5682,15.0,1
5686,NaN,3
5692,NaN,1
5696,NaN,3
5698,NaN,1
5704,10.0,1
5720,NaN,3
5724,NaN,2
5726,NaN,2
5730,NaN,3
5732,10.0,1
5736,NaN,2
5738,Subsidized Annual Pass,2
5740,NaN,1
5742,NaN,1
5746,NaN,2
5758,NaN,1
5760,NaN,1
5766,NaN,5
5786,NaN,3
5796,10.0,1
5798,NaN,1
5800,NaN,1
5806,NaN,1
5808,NaN,1
5814,NaN,2
5816,NaN,2
5818,NaN,1
5826,10.0,2
5834,NaN,1
5840,NaN,1
5850,NaN,3
5852,NaN,2
5856,NaN,2
5860,NaN,1
5868,NaN,1
5876,10.0,1
5878,NaN,1
5892,NaN,1
5902,10.0,1
5904,NaN,1
5916,NaN,1
5922,NaN,2
5926,NaN,1
5928,NaN,1
5936,NaN,1
5940,NaN,2
5950,NaN,1
5964,NaN,1
5968,NaN,2
5970,NaN,2
5972,NaN,2
5980,NaN,1
5984,NaN,1
5986,NaN,1
5988,NaN,1
5990,10.0,1
6002,NaN,2
6006,NaN,1
6008,NaN,1
6010,NaN,1
6012,NaN,1
6024,NaN,1
6030,10.0,1
6036,NaN,2
6038,NaN,1
6042,10.0,1
6046,NaN,3
6050,NaN,1
6052,NaN,1
6054,NaN,3
6056,NaN,1
6066,Subsidized Annual Pass,2
6074,NaN,1
6084,NaN,1
6086,NaN,2
6088,NaN,1
6102,NaN,1
6104,NaN,1
6110,NaN,1
6126,NaN,1
6128,NaN,3
6138,NaN,1
6140,15.0,1
6150,NaN,1
6156,NaN,1
6168,NaN,3
6170,NaN,1
6172,NaN,2
6176,NaN,4
6178,NaN,2
6180,NaN,1
6184,NaN,1
6192,NaN,1
6202,NaN,3
6204,NaN,2
6208,10.0,1
6210,NaN,1
6212,NaN,1
6214,NaN,1
6218,NaN,1
6220,NaN,1
6222,NaN,2
6224,NaN,1
6230,NaN,1
6232,NaN,2
6234,NaN,1
6238,NaN,3
6242,NaN,2
6256,NaN,2
6258,NaN,2
6262,NaN,3
6268,NaN,1
6284,NaN,2
6286,NaN,1
6298,NaN,2
6316,NaN,2
6324,NaN,1
6328,NaN,1
6332,NaN,2
6340,NaN,1
6342,NaN,1
6366,NaN,1
6376,NaN,1
6378,NaN,1
6384,NaN,2
6386,NaN,2
6388,NaN,1
6390,NaN,2
6392,NaN,2
6396,NaN,4
6398,NaN,1
6400,NaN,3
6402,NaN,1
6408,NaN,1
6420,NaN,3
6424,NaN,1
6428,15.0,1
6434,NaN,2
6436,15.0,4
6450,NaN,2
6454,NaN,1
6460,NaN,1
6462,NaN,4
6464,NaN,2
6470,10.0,1
6476,NaN,4
6480,NaN,2
6484,NaN,1
6486,NaN,1
6490,NaN,1
6492,NaN,2
6496,NaN,1
6504,NaN,1
6516,NaN,3
6518,NaN,1
6526,NaN,1
6530,10.0,1
6534,NaN,1
6536,NaN,1
6544,NaN,1
6546,NaN,1
6550,NaN,3
6552,NaN,1
6556,NaN,1
6558,NaN,1
6562,10.0,1
6568,NaN,2
6574,NaN,2
6576,NaN,4
6582,10.0,1
6586,NaN,3
6592,NaN,3
6604,15.0,1
6614,NaN,1
6616,NaN,1
6620,NaN,1
6622,NaN,1
6624,NaN,1
6626,NaN,1
6628,NaN,1
6642,NaN,1
6648,NaN,3
6652,NaN,1
6662,NaN,2
6664,NaN,1
6672,NaN,1
6676,10.0,1
6682,NaN,1
6684,NaN,2
6688,NaN,1
6694,NaN,2
6696,NaN,1
6700,NaN,1
6704,NaN,4
6714,NaN,2
6720,NaN,2
6738,NaN,1
6740,NaN,1
6744,NaN,2
6752,NaN,5
6764,NaN,1
6766,NaN,1
6770,NaN,2
6774,NaN,1
6776,NaN,2
6780,NaN,2
6792,NaN,3
6798,NaN,1
6800,NaN,1
6802,NaN,1
6806,NaN,1
6808,NaN,1
6812,NaN,1
6814,10.0,1
6824,NaN,3
6826,15.0,1
6828,15.0,2
6840,NaN,1
6842,NaN,1
6848,NaN,1
6854,NaN,1
6858,NaN,2
6862,Subsidized Annual Pass,1
6868,15.0,1
6870,NaN,2
6872,15.0,1
6874,NaN,1
6886,NaN,2
6888,NaN,1
6892,NaN,1
6896,10.0,1
6902,10.0,1
6904,NaN,1
6906,NaN,1
6910,NaN,1
6912,NaN,2
6914,NaN,1
6922,NaN,3
6924,NaN,3
6928,NaN,2
6934,NaN,2
6936,NaN,1
6938,NaN,1
6942,NaN,2
6944,15.0,1
6950,10.0,1
6952,NaN,1
6956,NaN,1
6960,NaN,4
6962,NaN,1
6964,NaN,1
6966,NaN,2
6968,NaN,1
6970,NaN,1
6972,NaN,1
6974,10.0,1
6976,NaN,1
6986,NaN,1
7002,NaN,1
7006,NaN,1
7008,10.0,2
7028,10.0,1
7030,NaN,3
7032,NaN,2
7036,NaN,3
7040,NaN,2
7044,NaN,3
7046,NaN,2
7048,NaN,1
7050,15.0,1
7052,NaN,1
7054,NaN,2
7056,NaN,1
7066,NaN,2
7082,NaN,4
7084,NaN,1
7094,10.0,1
7096,NaN,4
7102,NaN,1
7112,NaN,1
7114,NaN,1
7116,NaN,1
7120,NaN,1
7122,NaN,1
7124,NaN,1
7128,NaN,1
7132,NaN,2
7138,NaN,3
7142,NaN,1
7150,NaN,2
7152,NaN,1
7154,NaN,1
7164,NaN,2
7188,NaN,1
7208,NaN,2
7212,NaN,3
7218,NaN,2
7222,NaN,2
7224,10.0,1
7228,NaN,1
7232,NaN,1
7234,NaN,2
7238,NaN,1
7240,NaN,1
7244,NaN,2
7246,NaN,1
7248,NaN,1
7252,NaN,1
7264,NaN,1
7272,NaN,2
7274,NaN,1
7278,NaN,3
7282,NaN,1
7286,NaN,1
7296,NaN,2
7298,NaN,1
7300,NaN,2
7302,Subsidized Annual Pass,1
7306,NaN,1
7308,Subsidized Annual Pass,2
7310,NaN,1
7322,NaN,4
7324,10.0,1
7330,70.0,1
7334,NaN,2
7338,NaN,1
7346,NaN,1
7352,NaN,2
7358,NaN,3
7360,NaN,3
7370,NaN,1
7374,NaN,3
7376,15.0,1
7380,NaN,2
7394,NaN,4
7402,10.0,2
7408,NaN,1
7414,NaN,1
7416,NaN,1
7422,NaN,2
7430,NaN,2
7432,NaN,3
7436,NaN,1
7440,NaN,3
7448,10.0,1
7450,NaN,1
7456,NaN,2
7462,NaN,1
7464,NaN,1
7468,NaN,3
7470,NaN,2
7472,NaN,3
7474,NaN,1
7480,NaN,1
7486,NaN,2
7492,NaN,3
7494,NaN,2
7496,NaN,1
7500,NaN,1
7508,Subsidized Annual Pass,1
7524,NaN,3
7526,NaN,1
7532,10.0,1
7540,NaN,3
7546,NaN,2
7550,NaN,1
7558,10.0,1
7560,NaN,1
7564,NaN,3
7568,NaN,2
7570,NaN,1
7584,NaN,3
7586,10.0,1
7588,NaN,2
7600,NaN,1
7604,NaN,1
7608,NaN,3
7612,NaN,1
7618,NaN,1
7620,NaN,2
7622,NaN,1
7630,10.0,1
7648,NaN,1
7652,NaN,1
7654,NaN,1
7658,NaN,2
7662,NaN,1
7666,NaN,1
7672,NaN,2
7684,NaN,3
7686,10.0,1
7688,NaN,1
7690,NaN,1
7698,NaN,3
7706,NaN,1
7716,15.0,2
7724,NaN,1
7726,10.0,1
7728,NaN,1
7732,NaN,1
7734,NaN,2
7736,Subsidized Annual Pass,1
7740,10.0,1
7746,15.0,3
7748,Subsidized Annual Pass,2
7750,NaN,2
7756,NaN,4
7760,NaN,1
7762,NaN,3
7764,NaN,2
7776,NaN,1
7784,NaN,1
7786,NaN,3
7788,NaN,1
7792,NaN,2
7798,NaN,1
7802,NaN,3
7806,NaN,2
7810,NaN,2
7820,NaN,1
7824,NaN,1
7826,NaN,3
7828,NaN,1
7830,NaN,3
7832,NaN,1
7850,NaN,2
7852,NaN,2
7862,NaN,1
7866,NaN,2
7876,15.0,1
7878,10.0,1
7880,NaN,1
7884,NaN,1
7886,10.0,1
7890,NaN,2
7896,NaN,1
7900,NaN,3
7902,NaN,1
7910,NaN,1
7922,15.0,1
7926,NaN,1
7938,NaN,1
7948,NaN,1
7952,NaN,3
7956,NaN,1
7972,NaN,3
7982,NaN,1
7988,NaN,2
7996,NaN,3
7998,NaN,3
8004,NaN,1
8016,NaN,1
8036,NaN,1
8040,NaN,1
8048,NaN,1
8056,NaN,1
8060,10.0,1
8062,NaN,3
8064,NaN,3
8070,NaN,1
8074,NaN,1
8086,10.0,1
8090,NaN,4
8098,NaN,3
8100,10.0,1
8114,NaN,4
8122,NaN,2
8124,NaN,3
8132,10.0,1
8138,NaN,1
8148,NaN,1
8150,NaN,3
8152,NaN,5
8154,10.0,1
8156,NaN,3
8158,NaN,2
8160,NaN,2
8164,NaN,1
8166,NaN,1
8170,NaN,2
8172,10.0,2
8174,NaN,2
8176,NaN,2
8178,NaN,2
8180,NaN,1
8182,NaN,1
8184,NaN,4
8188,10.0,1
8190,NaN,3
8192,NaN,4
8194,NaN,3
8196,NaN,1
8198,NaN,2
8200,NaN,2
8202,NaN,1
8204,NaN,1
8208,NaN,1
8212,NaN,3
8214,NaN,2
8218,NaN,1
8220,NaN,1
8232,10.0,1
8234,NaN,2
8236,NaN,2
8238,NaN,1
8246,NaN,1
8250,NaN,2
8252,NaN,2
8260,NaN,3
8264,NaN,1
8266,NaN,3
8268,NaN,1
8270,Subsidized Annual Pass,1
8272,NaN,2
8274,NaN,1
8278,Subsidized Annual Pass,2
8282,NaN,2
8294,NaN,1
8298,NaN,3
8300,NaN,2
8302,NaN,1
8304,NaN,1
8306,NaN,2
8308,NaN,2
8310,NaN,1
8312,NaN,2
8316,NaN,2
8320,NaN,1
8324,NaN,3
8326,NaN,1
8328,NaN,2
8330,NaN,3
8334,NaN,2
8336,NaN,2
8338,NaN,2
8342,NaN,1
8346,NaN,1
8350,NaN,5
8358,NaN,1
8360,NaN,1
8374,NaN,1
8378,NaN,3
8380,NaN,2
8386,NaN,2
8394,10.0,2
8398,15.0,1
8402,NaN,2
8404,NaN,3
8406,NaN,1
8408,NaN,3
8410,NaN,3
8416,NaN,1
8418,NaN,1
8420,10.0,1
8428,NaN,1
8434,NaN,2
8436,NaN,1
8442,NaN,1
8446,NaN,1
8450,10.0,1
8454,NaN,1
8456,Subsidized Annual Pass,2
8462,NaN,3
8470,NaN,2
8474,10.0,2
8476,10.0,1
8478,NaN,2
8484,NaN,2
8492,10.0,1
8494,NaN,3
8502,NaN,2
8504,NaN,1
8506,NaN,1
8514,NaN,1
8518,10.0,1
8520,NaN,1
8522,NaN,1
8532,NaN,1
8536,NaN,1
8544,NaN,2
8550,15.0,1
8552,NaN,1
8560,15.0,2
8562,NaN,1
8566,10.0,1
8574,NaN,1
8578,NaN,1
8584,15.0,1
8586,10.0,2
8592,NaN,1
8594,NaN,1
8600,NaN,1
8614,NaN,3
8616,NaN,1
8620,NaN,1
8622,NaN,1
8630,NaN,2
8632,NaN,2
8634,NaN,2
8638,NaN,1
8640,NaN,1
8642,NaN,2
8644,NaN,1
8648,NaN,1
8650,NaN,1
8652,NaN,1
8658,NaN,3
8660,NaN,3
8662,NaN,1
8666,NaN,2
8674,NaN,3
8678,NaN,1
8680,NaN,1
8682,NaN,1
8684,NaN,3
8688,NaN,1
8690,NaN,1
8696,NaN,1
8700,NaN,1
8704,10.0,1
8706,10.0,1
8710,NaN,2
8712,NaN,2
8714,15.0,1
8716,NaN,1
8718,NaN,3
8722,NaN,2
8730,NaN,1
8732,NaN,1
8738,NaN,1
8744,NaN,1
8748,NaN,1
8750,NaN,1
8752,NaN,1
8754,NaN,1
8756,NaN,1
8758,NaN,1
8762,NaN,1
8764,NaN,1
8768,NaN,1
8774,NaN,1
8780,NaN,3
8782,15.0,2
8784,NaN,1
8786,NaN,1
8792,NaN,1
8802,NaN,2
8804,NaN,1
8806,NaN,2
8808,NaN,3
8810,NaN,2
8812,NaN,3
8820,10.0,1
8822,NaN,1
8824,NaN,1
8826,NaN,1
8828,NaN,1
8832,NaN,1
8838,NaN,1
8842,NaN,1
8848,NaN,2
8850,NaN,1
8854,NaN,1
8858,NaN,1
8860,NaN,1
8864,NaN,1
8866,NaN,2
8868,NaN,1
8870,NaN,1
8872,NaN,2
8874,NaN,2
8876,NaN,1
8878,NaN,1
8880,NaN,2
8884,NaN,1
8886,NaN,1
8896,NaN,1
8900,NaN,1
8904,NaN,1
8906,NaN,3
8916,NaN,4
8918,NaN,3
8922,NaN,2
8928,15.0,1
8932,NaN,2
8936,NaN,3
8940,NaN,2
8942,NaN,1
8950,NaN,2
8954,NaN,1
8956,NaN,1
8966,15.0,1
8974,NaN,1
8976,NaN,1
8980,NaN,2
8982,NaN,2
8994,NaN,1
9004,NaN,1
9008,10.0,1
9010,NaN,2
9012,10.0,2
9016,NaN,1
9022,NaN,2
9026,NaN,1
9040,NaN,3
9042,NaN,1
9044,NaN,1
9046,NaN,4
9054,NaN,2
9060,15.0,1
9062,NaN,1
9066,NaN,3
9068,10.0,2
9076,NaN,1
9084,NaN,1
9086,NaN,2
9088,NaN,1
9094,NaN,2
9100,NaN,2
9104,Subsidized Annual Pass,4
9106,10.0,1
9110,NaN,1
9112,NaN,2
9116,NaN,2
9120,NaN,1
9122,NaN,2
9124,NaN,1
9126,NaN,2
9130,NaN,1
9134,NaN,1
9138,NaN,1
9140,NaN,3
9142,NaN,1
9144,NaN,1
9146,NaN,1
9150,10.0,1
9152,15.0,1
9156,NaN,1
9160,NaN,1
9164,NaN,1
9166,NaN,1
9170,NaN,1
9178,NaN,2
9182,NaN,2
9190,NaN,2
9196,15.0,1
9198,NaN,3
9200,NaN,2
9208,NaN,1
9218,NaN,1
9220,NaN,3
9224,NaN,2
9226,10.0,1
9228,NaN,3
9234,NaN,1
9236,NaN,1
9248,10.0,1
9254,NaN,1
9266,NaN,3
9272,15.0,2
9274,NaN,1
9280,NaN,2
9282,15.0,1
9286,NaN,2
9288,NaN,1
9290,NaN,1
9292,NaN,1
9294,NaN,2
9296,NaN,2
9302,NaN,3
9306,10.0,2
9310,NaN,2
9316,15.0,1
9318,10.0,1
9324,NaN,1
9330,NaN,4
9332,10.0,1
9340,NaN,3
9342,10.0,1
9344,10.0,2
9348,NaN,1
9350,NaN,1
9356,10.0,3
9360,NaN,3
9362,NaN,1
9366,NaN,2
9372,NaN,2
9386,15.0,3
9390,NaN,3
9394,NaN,1
9402,NaN,1
9414,NaN,1
9418,Subsidized Annual Pass,2
9420,NaN,1
9422,NaN,3
9424,NaN,1
9430,15.0,1
9438,NaN,3
9442,NaN,2
9444,NaN,1
9450,NaN,1
9454,NaN,3
9458,NaN,4
9462,NaN,2
9476,NaN,1
9480,NaN,1
9490,NaN,2
9494,NaN,2
9496,NaN,2
9500,NaN,2
9504,15.0,1
9506,10.0,1
9512,NaN,1
9516,10.0,4
9518,NaN,1
9520,NaN,1
9524,10.0,1
9528,NaN,2
9532,10.0,1
9540,10.0,1
9548,NaN,1
9558,15.0,1
9562,NaN,2
9568,NaN,3
9572,NaN,3
9574,NaN,3
9582,NaN,2
9586,NaN,1
9588,NaN,1
9590,NaN,5
9592,NaN,1
9600,10.0,1
9602,NaN,1
9604,NaN,1
9614,NaN,1
9628,NaN,3
9658,10.0,1
9662,10.0,1
9670,NaN,1
9678,NaN,1
9686,NaN,2
9692,NaN,2
9696,NaN,2
9698,10.0,1
9710,10.0,1
9714,NaN,1
9716,NaN,1
9724,NaN,1
9736,15.0,1
9742,15.0,1
9744,NaN,1
9746,NaN,1
9754,NaN,2
9766,NaN,1
9768,NaN,1
9782,NaN,1
9788,NaN,1
9790,NaN,2
9792,NaN,1
9796,NaN,1
9802,10.0,1
9804,NaN,2
9806,10.0,1
9808,NaN,1
9810,15.0,1
9812,Subsidized Annual Pass,1
9818,10.0,1
9824,NaN,1
9826,NaN,1
9834,NaN,3
9842,NaN,2
9846,NaN,1
9854,10.0,2
9862,NaN,1
9866,NaN,3
9872,NaN,1
9876,10.0,1
9882,NaN,2
9884,NaN,3
9886,NaN,3
9888,NaN,1
9890,10.0,1
9896,NaN,1
9902,NaN,2
9904,NaN,2
9910,NaN,2
9912,NaN,1
9914,NaN,2
9916,10.0,1
9920,NaN,1
9924,NaN,1
9928,10.0,1
9932,NaN,1
9934,NaN,3
9946,NaN,1
9962,NaN,1
9966,10.0,1
9970,NaN,2
9972,NaN,1
9980,NaN,4
9988,NaN,1
9990,NaN,1
9994,NaN,1
10006,15.0,1
10008,NaN,1
10010,NaN,1
