,RaceDesc,OverallJobAccess_quantileNum_4q,lowwagelaborforce_quantileNum_4q,Access30Transit_quantileNum_4q,Access30Transit_ts_quantileNum_4q,spatialmismatch_quantileNum_4q,OverallJobAccess_quantileNum_10q,lowwagelaborforce_quantileNum_10q,Access30Transit_quantileNum_10q,Access30Transit_ts_quantileNum_10q,spatialmismatch_quantileNum_10q,SAP,Agency,Language,Age_bin,total_boardings
344,1,3,3,3,3,2,8,8,9,9,5,0,4,0,1,0.0
345,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,81.0
355,3,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
356,0,3,3,3,3,2,8,8,9,9,5,0,5,0,4,0.0
357,5,3,3,3,3,2,8,8,9,9,5,1,0,0,4,0.0
358,1,3,3,3,3,2,8,8,9,9,5,1,2,0,2,0.0
359,1,3,3,3,3,2,8,8,9,9,5,1,0,0,4,30.0
367,1,3,3,3,3,2,8,8,9,9,5,0,3,0,4,0.0
368,1,3,3,3,3,2,8,8,9,9,5,1,3,0,5,0.0
369,0,3,3,3,3,2,8,8,9,9,5,0,1,0,3,7.0
371,4,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
372,3,3,3,3,3,2,8,8,9,9,5,0,5,2,4,1108.0
399,6,3,3,3,3,2,8,8,9,9,5,0,5,0,4,51.0
408,0,3,3,3,3,2,8,8,9,9,5,0,5,0,3,0.0
409,1,3,3,3,3,2,8,8,9,9,5,1,0,5,5,12.0
410,1,3,3,3,3,2,8,8,9,9,5,1,0,0,4,189.0
425,3,3,3,3,3,2,8,8,9,9,5,1,3,0,1,65.0
439,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
440,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,3.0
442,3,3,3,3,3,2,8,8,9,9,5,0,0,0,4,34.0
453,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
454,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,14.0
459,1,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
460,8,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
461,6,3,3,3,3,2,8,8,9,9,5,1,2,0,3,11.0
465,5,3,3,3,3,2,8,8,9,9,5,1,0,0,1,328.0
484,0,3,3,3,3,2,8,8,9,9,5,0,3,0,2,0.0
485,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,18.0
487,4,3,3,3,3,2,8,8,9,9,5,1,3,5,4,307.0
514,3,3,3,3,3,2,8,8,9,9,5,0,0,0,2,9.0
515,1,3,3,3,3,2,8,8,9,9,5,0,5,0,0,0.0
516,1,3,3,3,3,2,8,8,9,9,5,0,0,5,2,63.0
523,1,3,3,3,3,2,8,8,9,9,5,1,2,0,1,0.0
524,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
525,6,3,3,3,3,2,8,8,9,9,5,1,0,0,4,47.0
532,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,101.0
557,3,3,3,3,3,2,8,8,9,9,5,0,4,0,1,17.0
567,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,270.0
593,0,3,3,3,3,2,8,8,9,9,5,0,4,0,1,33.0
604,0,3,3,3,3,2,8,8,9,9,5,1,0,0,5,75.0
623,6,3,3,3,3,2,8,8,9,9,5,0,5,0,3,0.0
624,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
625,2,3,3,3,3,2,8,8,9,9,5,1,0,0,3,72.0
631,1,3,3,3,3,2,8,8,9,9,5,1,0,0,2,0.0
632,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
633,3,3,3,3,3,2,8,8,9,9,5,0,5,0,2,23.0
639,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
640,1,3,3,3,3,2,8,8,9,9,5,1,0,0,4,184.0
651,0,3,3,3,3,2,8,8,9,9,5,1,3,0,5,0.0
652,0,3,3,3,3,2,8,8,9,9,5,0,4,0,4,117.0
687,0,3,3,3,3,2,8,8,9,9,5,0,4,0,4,0.0
688,0,3,3,3,3,2,8,8,9,9,5,1,2,0,1,0.0
689,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
690,0,3,3,3,3,2,8,8,9,9,5,0,3,0,1,69.0
702,1,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
703,3,3,3,3,3,2,8,8,9,9,5,1,0,2,4,778.0
730,1,3,3,3,3,2,8,8,9,9,5,0,1,0,1,0.0
731,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
732,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,156.0
746,0,3,3,3,3,2,8,8,9,9,5,1,0,0,4,0.0
747,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
748,3,3,3,3,3,2,8,8,9,9,5,0,0,0,2,8.0
753,0,3,3,3,3,2,8,8,9,9,5,0,4,0,3,107.0
778,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
779,1,3,3,3,3,2,8,8,9,9,5,0,1,0,3,76.0
797,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
798,1,3,3,3,3,2,8,8,9,9,5,0,1,0,1,1.0
799,1,3,3,3,3,2,8,8,9,9,5,0,4,0,2,30.0
804,1,3,3,3,3,2,8,8,9,9,5,0,4,0,1,15.0
813,1,3,3,3,3,2,8,8,9,9,5,1,3,0,2,9.0
814,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
815,1,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
816,1,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
817,1,3,3,3,3,2,8,8,9,9,5,0,3,0,4,8.0
823,0,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
824,8,3,3,3,3,2,8,8,9,9,5,0,3,0,1,169.0
832,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
833,0,3,3,3,3,2,8,8,9,9,5,0,3,0,2,0.0
834,1,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
835,0,3,3,3,3,2,8,8,9,9,5,1,3,0,4,145.0
854,0,3,3,3,3,2,8,8,9,9,5,1,0,0,2,0.0
855,0,3,3,3,3,2,8,8,9,9,5,1,2,0,2,0.0
856,0,3,3,3,3,2,8,8,9,9,5,1,0,0,4,27.0
863,3,3,3,3,3,2,8,8,9,9,5,0,4,2,4,1961.0
911,0,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
912,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
913,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,84.0
928,1,3,3,3,3,2,8,8,9,9,5,1,0,0,1,0.0
929,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,160.0
953,4,3,3,3,3,2,8,8,9,9,5,0,4,0,3,5.0
954,3,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
955,2,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
956,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,14.0
962,6,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
963,0,3,3,3,3,2,8,8,9,9,5,0,5,0,3,84.0
973,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
974,6,3,3,3,3,2,8,8,9,9,5,0,4,0,3,0.0
975,6,3,3,3,3,2,8,8,9,9,5,1,3,0,3,23.0
981,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
982,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
983,4,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
984,4,3,3,3,3,2,8,8,9,9,5,1,3,0,4,0.0
985,0,3,3,3,3,2,8,8,9,9,5,1,0,0,3,0.0
986,1,3,3,3,3,2,8,8,9,9,5,0,1,0,4,0.0
987,1,3,3,3,3,2,8,8,9,9,5,1,0,0,3,17.0
991,4,3,3,3,3,2,8,8,9,9,5,0,4,0,2,0.0
992,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
993,3,3,3,3,3,2,8,8,9,9,5,0,5,0,4,130.0
1014,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1015,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
1016,3,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1017,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,4.0
1020,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,12.0
1023,3,3,3,3,3,2,8,8,9,9,5,0,5,0,4,0.0
1024,4,3,3,3,3,2,8,8,9,9,5,0,5,5,3,5.0
1025,0,3,3,3,3,2,8,8,9,9,5,0,5,0,0,256.0
1035,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1036,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1037,0,3,3,3,3,2,8,8,9,9,5,0,1,0,1,0.0
1038,5,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1039,0,3,3,3,3,2,8,8,9,9,5,1,2,0,1,492.0
1064,8,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
1065,1,3,3,3,3,2,8,8,9,9,5,1,2,0,4,49.0
1072,3,3,3,3,3,2,8,8,9,9,5,0,5,0,4,245.0
1085,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,73.0
1103,0,3,3,3,3,2,8,8,9,9,5,1,3,0,1,0.0
1104,5,3,3,3,3,2,8,8,9,9,5,1,2,5,4,0.0
1105,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1106,0,3,3,3,3,2,8,8,9,9,5,0,3,0,1,0.0
1107,6,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
1108,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1109,5,3,3,3,3,2,8,8,9,9,5,0,0,3,0,0.0
1110,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,29.0
1119,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1120,0,3,3,3,3,2,8,8,9,9,5,0,1,0,4,0.0
1121,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,23.0
1130,1,3,3,3,3,2,8,8,9,9,5,0,1,0,4,186.0
1146,1,3,3,3,3,2,8,8,9,9,5,1,3,0,3,62.0
1158,3,3,3,3,3,2,8,8,9,9,5,0,0,0,3,429.0
1185,6,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1186,6,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1187,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,30.0
1193,6,3,3,3,3,2,8,8,9,9,5,0,0,0,2,4.0
1196,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,28.0
1204,1,3,3,3,3,2,8,8,9,9,5,0,0,0,4,125.0
1218,0,3,3,3,3,2,8,8,9,9,5,0,4,0,3,221.0
1238,6,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
1239,4,3,3,3,3,2,8,8,9,9,5,1,3,5,4,27.0
1252,0,3,3,3,3,2,8,8,9,9,5,0,4,0,4,309.0
1285,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
1286,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1287,0,3,3,3,3,2,8,8,9,9,5,0,4,0,3,588.0
1321,0,3,3,3,3,2,8,8,9,9,5,0,0,2,3,0.0
1322,0,3,3,3,3,2,8,8,9,9,5,1,3,0,4,210.0
1342,0,3,3,3,3,2,8,8,9,9,5,0,4,0,2,27.0
1358,1,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
1359,1,3,3,3,3,2,8,8,9,9,5,0,4,0,3,0.0
1360,3,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1361,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1362,1,3,3,3,3,2,8,8,9,9,5,0,3,0,0,0.0
1363,0,3,3,3,3,2,8,8,9,9,5,1,2,0,3,16.0
1366,1,3,3,3,3,2,8,8,9,9,5,1,0,0,3,0.0
1367,1,3,3,3,3,2,8,8,9,9,5,0,1,0,4,0.0
1368,3,3,3,3,3,2,8,8,9,9,5,0,0,2,4,21.0
1369,0,3,3,3,3,2,8,8,9,9,5,0,1,0,4,0.0
1370,1,3,3,3,3,2,8,8,9,9,5,0,1,0,4,0.0
1371,1,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
1372,6,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1373,1,3,3,3,3,2,8,8,9,9,5,1,2,0,2,0.0
1374,0,3,3,3,3,2,8,8,9,9,5,0,1,0,1,0.0
1375,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1376,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,52.0
1378,4,3,3,3,3,2,8,8,9,9,5,1,3,0,2,21.0
1382,2,3,3,3,3,2,8,8,9,9,5,1,0,0,4,49.0
1387,0,3,3,3,3,2,8,8,9,9,5,0,5,0,3,0.0
1388,0,3,3,3,3,2,8,8,9,9,5,0,4,0,3,12.0
1396,3,3,3,3,3,2,8,8,9,9,5,0,5,2,3,269.0
1411,0,3,3,3,3,2,8,8,9,9,5,1,0,0,4,277.0
1419,6,3,3,3,3,2,8,8,9,9,5,0,5,0,0,0.0
1420,1,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1421,1,3,3,3,3,2,8,8,9,9,5,1,2,0,1,0.0
1422,0,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
1423,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,97.0
1443,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2.0
1444,0,3,3,3,3,2,8,8,9,9,5,0,4,0,1,1.0
1445,0,3,3,3,3,2,8,8,9,9,5,1,0,0,1,8.0
1447,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,5.0
1448,5,3,3,3,3,2,8,8,9,9,5,1,0,0,1,0.0
1449,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1450,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1451,0,3,3,3,3,2,8,8,9,9,5,1,0,0,4,31.0
1459,3,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1460,1,3,3,3,3,2,8,8,9,9,5,0,5,0,0,0.0
1461,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1462,1,3,3,3,3,2,8,8,9,9,5,1,3,0,1,49.0
1465,1,3,3,3,3,2,8,8,9,9,5,1,0,0,2,11.0
1471,1,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
1472,5,3,3,3,3,2,8,8,9,9,5,0,0,0,2,104.0
1483,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1484,6,3,3,3,3,2,8,8,9,9,5,0,4,0,3,0.0
1485,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,5.0
1487,6,3,3,3,3,2,8,8,9,9,5,1,0,0,3,1.0
1488,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
1489,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,23.0
1496,6,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1497,4,3,3,3,3,2,8,8,9,9,5,1,0,0,2,0.0
1498,1,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
1499,1,3,3,3,3,2,8,8,9,9,5,1,0,0,4,28.0
1504,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,44.0
1519,1,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
1520,1,3,3,3,3,2,8,8,9,9,5,1,2,0,2,0.0
1521,4,3,3,3,3,2,8,8,9,9,5,1,0,0,0,0.0
1522,1,3,3,3,3,2,8,8,9,9,5,1,0,0,2,27.0
1530,0,3,3,3,3,2,8,8,9,9,5,0,3,0,3,1.0
1531,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1532,1,3,3,3,3,2,8,8,9,9,5,0,3,5,2,0.0
1533,1,3,3,3,3,2,8,8,9,9,5,1,2,0,0,0.0
1534,6,3,3,3,3,2,8,8,9,9,5,1,0,0,3,2.0
1536,3,3,3,3,3,2,8,8,9,9,5,1,0,2,4,67.0
1542,3,3,3,3,3,2,8,8,9,9,5,1,0,2,5,0.0
1543,4,3,3,3,3,2,8,8,9,9,5,1,0,0,3,14.0
1552,0,3,3,3,3,2,8,8,9,9,5,0,3,0,2,0.0
1553,4,3,3,3,3,2,8,8,9,9,5,1,0,0,0,0.0
1554,4,3,3,3,3,2,8,8,9,9,5,1,0,0,0,0.0
1555,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1556,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1557,0,3,3,3,3,2,8,8,9,9,5,0,1,0,1,0.0
1558,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,1.0
1559,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
1560,3,3,3,3,3,2,8,8,9,9,5,1,0,2,4,79.0
1571,4,3,3,3,3,2,8,8,9,9,5,1,0,0,2,15.0
1577,5,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1578,1,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1579,0,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
1580,3,3,3,3,3,2,8,8,9,9,5,0,0,0,0,8.0
1585,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1586,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1587,2,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1588,0,3,3,3,3,2,8,8,9,9,5,0,3,0,2,0.0
1589,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1590,1,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1591,0,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
1592,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1593,3,3,3,3,3,2,8,8,9,9,5,0,0,2,4,0.0
1594,8,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
1595,3,3,3,3,3,2,8,8,9,9,5,0,0,2,2,0.0
1596,6,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1597,0,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
1598,8,3,3,3,3,2,8,8,9,9,5,0,1,0,1,0.0
1599,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
1600,0,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
1601,2,3,3,3,3,2,8,8,9,9,5,0,5,0,1,10.0
1606,2,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1607,4,3,3,3,3,2,8,8,9,9,5,1,0,0,1,28.0
1616,7,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
1617,4,3,3,3,3,2,8,8,9,9,5,0,5,5,2,0.0
1618,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1619,2,3,3,3,3,2,8,8,9,9,5,1,0,0,3,0.0
1620,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1621,6,3,3,3,3,2,8,8,9,9,5,1,2,0,0,18.0
1628,4,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1629,0,3,3,3,3,2,8,8,9,9,5,1,0,0,3,118.0
1642,1,3,3,3,3,2,8,8,9,9,5,1,0,0,0,0.0
1643,6,3,3,3,3,2,8,8,9,9,5,0,5,0,4,10.0
1644,0,3,3,3,3,2,8,8,9,9,5,0,5,0,5,0.0
1645,4,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1646,1,3,3,3,3,2,8,8,9,9,5,0,1,0,0,2.0
1647,1,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1648,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1649,1,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
1650,2,3,3,3,3,2,8,8,9,9,5,0,5,0,4,13.0
1653,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1654,0,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
1655,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,58.0
1659,5,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
1660,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1661,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,24.0
1663,3,3,3,3,3,2,8,8,9,9,5,0,5,2,2,0.0
1664,1,3,3,3,3,2,8,8,9,9,5,0,5,0,3,1.0
1665,4,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1666,3,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1667,0,3,3,3,3,2,8,8,9,9,5,1,3,0,2,21.0
1672,0,3,3,3,3,2,8,8,9,9,5,0,5,0,4,8.0
1675,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1676,4,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1677,3,3,3,3,3,2,8,8,9,9,5,1,0,2,5,184.0
1685,0,3,3,3,3,2,8,8,9,9,5,0,3,0,1,0.0
1686,8,3,3,3,3,2,8,8,9,9,5,0,0,0,0,0.0
1687,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
1688,0,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
1689,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
1690,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,57.0
1696,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
1697,5,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1698,5,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
1699,4,3,3,3,3,2,8,8,9,9,5,0,0,0,1,2.0
1700,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,11.0
1704,0,3,3,3,3,2,8,8,9,9,5,0,5,0,2,0.0
1705,6,3,3,3,3,2,8,8,9,9,5,0,5,0,4,92.0
